rotten_tomatoes_link,tomatometer_status,tomatometer_rating,audience_status,audience_rating,Action & Adventure,Comedy,Drama,Science Fiction & Fantasy,Romance,Classics,Kids & Family,Mystery & Suspense,Western,Art House & International,Horror,Faith & Spirituality,Animation,Documentary,Special Interest,Musical & Performing Arts,Sports & Fitness,Television,Cult Movies,Anime & Manga,Gay & Lesbian,content_rating_G,content_rating_NC17,content_rating_NR,content_rating_PG,content_rating_PG,content_rating_R
m/0814255,0.0,49.0,0,53.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
m/0878835,2.0,87.0,1,64.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
m/10,1.0,67.0,0,53.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
m/1000013-12_angry_men,2.0,100.0,1,97.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
m/1000079-20000_leagues_under_the_sea,1.0,89.0,1,74.0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
m/10000_bc,0.0,8.0,0,37.0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
m/1000121-39_steps,2.0,96.0,1,86.0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
m/1000123-310_to_yuma,1.0,96.0,1,79.0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
m/10002008-charly,0.0,20.0,1,87.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
m/1000204-abraham_lincoln,1.0,82.0,0,40.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
m/10002114-dark_water,1.0,80.0,1,66.0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
m/1000224-accused,1.0,91.0,1,79.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
m/10002516-lost_city,0.0,25.0,1,64.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
m/10002519-breaking_point,1.0,100.0,1,86.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
m/1000253-adams_rib,1.0,96.0,1,86.0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
m/10002635-bridge_of_san_luis_rey,0.0,4.0,0,35.0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
m/10002673-prowler,1.0,100.0,1,86.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
m/10003276-criminal,1.0,69.0,0,57.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
m/1000334-adventures_of_mark_twain,1.0,80.0,1,82.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
m/10003437-deep_blue,1.0,67.0,1,80.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
m/1000355-adventures_of_robin_hood,2.0,100.0,1,89.0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
m/10003876-man_hunt,1.0,92.0,1,75.0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
m/10003925-dead_end,1.0,75.0,1,60.0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
m/10004050-bandwagon,1.0,80.0,1,91.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
m/10004069-whore,0.0,0.0,1,63.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
m/10004209-tristan_and_isolde,0.0,31.0,1,71.0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
m/10004226-wild_side,1.0,63.0,1,80.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
m/10004288-running_scared,0.0,41.0,1,79.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
m/10004352-going_the_distance,0.0,0.0,1,61.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
m/10004504-ultraviolet,0.0,8.0,0,30.0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
m/10004635-home_of_the_brave,1.0,93.0,0,48.0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
m/10004659-arthur,0.0,22.0,0,56.0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
m/10004684-malevolence,0.0,33.0,1,83.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
m/10004697-eternal,0.0,21.0,0,39.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
m/10004835-farewell_to_arms,0.0,0.0,0,37.0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
m/10004890-narrow_margin,1.0,100.0,1,88.0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
m/10004925-matador,2.0,75.0,1,65.0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
m/10005057-smile,0.0,15.0,1,66.0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
